2024-05-29 14:30:00,OFF
2024-05-29 14:43:00,ON
2024-05-29 14:43:00,OFF
2024-05-29 14:44:00,OFF
2024-05-29 14:45:00,ON
2024-05-29 14:46:00,OFF
2024-05-29 14:47:00,ON
2024-05-29 14:48:00,OFF
2024-05-29 14:49:00,ON
2024-05-29 14:50:00,OFF
2024-05-29 14:51:00,ON
2024-05-29 14:52:00,OFF
2024-05-29 14:53:00,ON
2024-05-29 14:54:00,OFF
2024-05-29 16:40:06,ON
2024-05-29 16:41:09,OFF
2024-05-29 16:42:11,ON
2024-05-29 16:43:14,OFF
2024-05-29 16:44:17,ON
2024-05-29 16:45:20,OFF
2024-05-31 14:11:05,OFF
2024-05-31 14:12:08,ON
2024-05-31 14:13:11,OFF
2024-05-31 14:14:14,ON
2024-05-31 14:15:17,OFF
2024-06-04 14:10:00,ON
2024-06-04 14:11:03,OFF
2024-06-04 14:12:06,ON
2024-06-04 14:13:08,OFF
2024-06-04 14:14:11,ON
2024-06-04 14:15:14,OFF
2024-06-05 14:31:01,ON
2024-06-05 14:32:00,OFF
2024-06-05 14:33:04,ON
2024-06-05 14:34:03,OFF
2024-06-06 14:14:03,ON
2024-06-06 14:15:02,OFF
2024-06-06 14:31:01,ON
2024-06-06 14:32:05,OFF
2024-06-06 14:33:04,ON
2024-06-06 14:34:02,OFF
2024-06-06 17:25:03,ON
2024-06-06 17:35:01,OFF
2024-06-06 17:39:00,ON
2024-06-12 11:40:00,ON
2024-06-12 11:45:00,ON
2024-06-12 11:51:03,OFF
2024-06-12 11:56:01,ON
2024-06-12 12:07:02,ON
2024-06-12 12:15:00,ON
2024-06-12 12:21:00,OFF
2024-06-12 12:26:04,ON
2024-06-12 12:35:04,ON
2024-06-12 12:41:00,OFF
2024-06-12 12:46:01,ON
2024-06-12 12:52:03,OFF
2024-06-12 12:57:04,ON
2024-06-12 13:03:00,OFF
2024-06-12 13:25:00,ON
2024-06-12 13:31:01,OFF
2024-06-12 13:36:02,ON
2024-06-12 13:42:03,OFF
2024-06-12 13:47:04,ON
2024-06-12 13:53:01,OFF
2024-06-12 14:05:04,ON
2024-06-12 14:11:00,OFF
2024-06-12 14:16:02,ON
2024-06-12 14:22:03,OFF
2024-06-12 14:27:05,ON
2024-06-12 14:33:01,OFF
2024-06-12 15:00:02,ON
2024-06-12 15:06:05,OFF
2024-06-12 15:11:01,ON
2024-06-12 15:17:02,OFF
2024-06-12 15:28:04,OFF
2024-06-12 15:30:01,ON
2024-06-12 15:36:03,OFF
2024-06-12 15:41:04,ON
2024-06-12 15:47:00,OFF
2024-06-12 15:52:02,ON
2024-06-12 15:58:03,OFF
2024-06-12 16:30:01,ON
2024-06-12 16:36:03,OFF
2024-06-12 16:41:04,ON
2024-06-12 16:47:00,OFF
2024-06-12 16:52:01,ON
2024-06-12 16:58:02,OFF
2024-06-12 17:20:01,ON
2024-06-12 17:26:02,OFF
2024-06-12 17:31:03,ON
2024-06-12 17:37:04,OFF
2024-06-12 17:50:03,ON
2024-06-12 17:56:05,OFF
2024-06-12 18:10:01,ON
2024-06-21 18:10:03,ON
2024-06-24 11:14:03,ON
2024-06-24 14:05:04,ON
2024-06-24 14:11:01,OFF
2024-06-24 14:16:02,ON
2024-06-24 14:22:03,OFF
2024-06-24 14:27:05,ON
2024-06-24 14:33:01,OFF
2024-06-24 14:55:01,ON
2024-06-24 15:01:03,OFF
2024-06-24 15:06:04,ON
2024-06-24 15:12:00,OFF
2024-06-24 15:17:02,ON
2024-06-24 15:23:03,OFF
2024-06-24 15:40:02,ON
2024-06-24 15:46:03,OFF
2024-06-24 15:51:05,ON
2024-06-24 15:57:01,OFF
2024-06-24 16:08:02,OFF
2024-06-24 16:13:00,ON
2024-06-24 16:19:01,OFF
2024-06-24 16:24:03,ON
2024-06-24 16:30:04,OFF
2024-06-24 16:35:00,ON
2024-06-24 16:41:01,OFF
2024-06-24 16:50:02,ON
2024-06-24 17:05:03,ON
2024-06-24 17:11:05,OFF
2024-06-24 17:16:01,ON
2024-06-24 17:22:02,OFF
2024-06-24 17:27:04,ON
2024-06-24 17:33:00,OFF
2024-06-25 10:25:02,ON
2024-06-25 10:31:03,OFF
2024-06-25 10:36:01,ON
2024-06-25 10:42:02,OFF
2024-06-25 10:47:03,ON
2024-06-25 10:53:05,OFF
2024-06-25 11:05:04,ON
2024-06-25 11:11:00,OFF
2024-06-25 11:16:02,ON
2024-06-25 11:22:03,OFF
2024-06-25 11:27:04,ON
2024-06-25 11:33:01,OFF
2024-06-25 11:45:02,ON
2024-06-25 11:51:04,OFF
2024-06-25 11:56:00,ON
2024-06-25 12:02:01,OFF
2024-06-25 12:07:02,ON
2024-06-25 12:13:01,OFF
2024-06-25 12:35:00,ON
2024-06-25 12:41:02,OFF
2024-06-25 12:46:03,ON
2024-06-25 12:52:04,OFF
2024-06-25 12:57:01,ON
2024-06-25 13:03:02,OFF
2024-06-25 13:40:02,ON
2024-06-25 13:46:01,OFF
2024-06-25 13:51:00,ON
2024-06-25 14:02:02,ON
2024-06-25 14:08:00,OFF
2024-06-25 14:25:03,ON
2024-06-25 14:31:01,OFF
2024-06-25 14:36:00,ON
2024-06-25 14:42:03,OFF
2024-06-25 14:47:02,ON
2024-06-25 14:53:00,OFF
2024-06-25 15:05:01,ON
2024-06-25 15:11:00,OFF
2024-06-25 15:16:03,ON
2024-06-25 15:22:02,OFF
2024-06-25 15:35:04,ON
2024-06-25 15:41:03,OFF
2024-06-25 15:46:02,ON
2024-06-25 15:52:00,OFF
2024-06-25 15:57:04,ON
2024-06-25 16:15:03,ON
2024-06-25 16:21:01,OFF
2024-06-25 16:26:00,ON
2024-06-25 16:32:03,OFF
2024-06-25 16:37:02,ON
